,Unnamed: 0,YEAR,STATEFIP,Inc_F,Inc_M,Agelt30,Child,Child5,White,Black,AmIndian_AlaskaNative,Chinese,Japanese,SEX,Prop_F,College,Mar,Constr,GWG,party_simplified,state,Year_imp,Pay_Transp,Empt,GDP_pc,GWG_calc,log_GDP,DEMOCRAT
23,23,2010,27,15340.991292699264,23346.388851678203,21.984073826002827,43.07881223487386,12.573491106645829,93.97186872069659,1.8121604524819528,0.5953709905484855,0.25303267098310633,0.06697923643670463,26874,48.630646721738486,59.44779340626628,64.6535685048746,6.820718910471087,65.71033914564698,DEMOCRAT,MINNESOTA,2014.0,0,64.18368219224716,51636.12,34.28966085435302,10.851976706583928,1
24,24,2010,28,13524.353309559016,20989.875619726885,22.37975123945377,46.064190658432636,12.785944159345917,66.94789945203097,30.16439071062016,0.4175002174480299,0.22614595111768288,0.02609376359050187,11497,49.08236931373402,55.910237453248676,58.98930155692789,7.462816386883535,64.43274631341046,REPUBLICAN,MISSISSIPPI,,0,50.18257162237449,31624.97,35.56725368658954,10.361702277412771,0
25,25,2010,29,14576.009004756545,21365.216949275626,24.18212846301877,42.99408155114193,12.599397262263535,89.11441124142188,6.985948222649867,0.38124977306561125,0.31952361933117895,0.03994045241639737,27541,49.70044660687702,53.2406230710577,60.51341636106169,6.183508224102248,68.22307978132062,REPUBLICAN,MISSOURI,,0,57.95946324345753,43331.74,31.776920218679383,10.676640670862836,0
26,26,2010,30,12525.107351984385,19129.746258946,21.16677510301453,39.62264150943396,12.708739969637822,93.8625027109087,0.2168726957276079,4.012144870960746,0.08674907829104316,0.0,4611,48.99154196486662,59.70505313381045,63.305139882888746,9.715896768596833,65.47450856085995,REPUBLICAN,MONTANA,,0,62.21109686796605,38695.11,34.525491439140055,10.56346851444506,0
27,27,2010,31,13011.747838459012,19950.5647367845,23.038196344533215,41.38119732953923,12.728466673963007,94.33074313231914,1.959067527634891,0.6128926343438765,0.15322315858596913,0.06566706796541534,9137,48.5060742037868,58.46557951187479,64.97756375177849,7.398489657436795,65.2199474557639,REPUBLICAN,NEBRASKA,2012.0,0,66.67074772449143,50046.3,34.780052544236106,10.820703855936774,0
28,28,2010,32,16209.847265923972,25155.84403435666,22.57845054851603,42.26549876690195,12.9177651160813,75.97584828641891,5.6552427927544855,1.3181392975593162,1.3861722935623777,0.38268560251722084,11759,47.240411599625816,53.67803384641551,54.4689174249511,5.629730419253338,64.43769981951442,DEMOCRAT,NEVADA,2013.0,0,54.6924439487686,46131.75,35.56230018048558,10.739256712099376,1
29,29,2010,33,16575.326545454547,27406.31272727273,18.778181818181817,41.905454545454546,9.89090909090909,95.46181818181819,0.8436363636363636,0.24727272727272728,0.46545454545454545,0.05818181818181818,6875,48.68363636363637,61.22181818181818,62.38545454545454,6.487272727272727,60.47995843293437,DEMOCRAT,NEW HAMPSHIRE,2015.0,0,61.793945506061256,49244.18,39.52004156706563,10.804546467028471,1
30,30,2010,34,21171.746070368383,35502.838337632,20.09586841208818,48.481677940532386,12.33393352474573,75.33456615893718,9.878826220254027,0.18249063214754976,1.8249063214754977,0.16545817314711178,41098,48.15076159423816,62.78407708404302,60.25840673512093,4.9661784028419875,59.633953401204366,DEMOCRAT,NEW JERSEY,2013.0,0,56.37421016379317,55998.12,40.36604659879564,10.933073397725181,1
31,31,2010,35,14681.64586176945,21623.36642263308,22.136741531207345,44.03772180171237,12.42089589279067,75.92753443355255,1.6131033627000868,8.983744881498945,0.3102121851346321,0.17371882367539396,8059,48.62886214170493,57.5009306365554,55.60243206353145,7.854572527608885,67.89713301256477,DEMOCRAT,NEW MEXICO,,0,51.340202091044624,40982.27,32.102866987435235,10.620894813133335,1
32,32,2010,36,19590.413366250566,29464.642766901958,22.335037147791414,44.24585926724388,11.301969238615158,75.07099226908677,10.860368348459033,0.35351252361579566,2.8153505569271067,0.2387658356224718,86277,49.212420459682185,61.719809450954486,55.287040578601484,5.349050152416055,66.48786995733323,DEMOCRAT,NEW YORK,2016.0,0,56.73075753367688,63068.28,33.51213004266676,11.051973227999955,1
